userID,Feature_ID
1272,002
9911,002
5802,011
9168,034
2766,039
1731,009
1272,009
6387,034
3182,012
4132,035
1485,004
4993,002
4420,029
2683,006
4135,035
2202,003
4135,004
2690,003
3923,021
7075,029
8038,004
4993,034
8045,006
8836,001
5709,021
4928,025
7251,012
6387,006
6387,004
3144,034
8745,002
3923,006
4836,006
5772,035
8549,009
1731,002
8164,001
6468,029
8164,021
8234,034
4317,003
3065,003
4317,035
6106,006
5381,029
5567,034
8676,003
6468,021
3285,003
5724,009
8745,034
4312,002
3816,035
7920,035
5567,009
7715,039
6328,001
6328,004
9056,006
8045,004
8164,029
9323,025
9669,039
5704,021
8549,025
4913,004
5724,004
3101,003
7101,025
5772,009
7504,004
1502,002
8950,034
5894,003
1706,012
8265,004
5261,001
5978,006
3700,006
8629,001
8807,029
6075,004
4679,003
2066,021
8265,039
9539,034
3923,001
9939,035
1706,035
2506,011
4813,002
6298,021
7715,012
3101,011
5864,003
3056,006
1451,035
8745,011
3182,004
1272,035
2202,021
2010,002
3923,025
1759,006
3182,021
7106,011
2778,012
1807,003
4420,001
4993,003
7101,035
5802,006
2010,004
2006,003
3816,025
8950,012
4230,035
9168,011
4993,004
7811,021
5567,011
2212,021
3983,003
1272,029
8676,034
3182,011
7101,003
9093,004
1635,025
2066,011
1917,006
9323,034
8038,035
4312,011
3286,004
1208,004
3610,001
1025,039
4993,029
6468,034
9957,011
6529,004
9974,025
5802,039
5658,003
2923,001
6075,039
9168,001
1616,012
8164,004
6823,011
7106,012
6328,003
3230,006
5414,039
6298,006
3182,003
3873,035
3816,003
5802,004
4135,011
3101,021
6158,025
2923,034
8950,009
8164,009
6329,011
3917,025
4642,012
5902,039
3651,034
4132,006
9974,011
8807,011
4118,001
4118,011
5086,004
8629,034
8662,006
2549,012
9539,025
6454,003
5709,002
6933,011
6169,012
8807,006
7920,039
6933,002
5864,001
1616,006
1067,021
4913,002
1798,001
1706,029
1706,039
1272,025
6520,006
1731,035
9957,025
2923,011
1485,009
1491,011
1144,012
4312,012
4813,029
1451,001
3474,009
6933,034
6468,009
1616,029
4813,006
8234,029
6169,003
7045,001
3610,003
9957,029
8038,039
8471,001
3474,034
8950,021
4913,035
7045,021
3065,021
5902,006
9265,002
1067,034
6328,034
2683,012
6454,012
4312,025
8251,025
2066,025
4932,029
9463,012
6454,002
5699,001
6064,002
1798,035
4312,006
9974,035
6158,001
5086,011
6468,002
4836,034
5978,035
3983,025
4913,003
6103,021
8836,035
1731,001
9093,029
2923,012
8676,029
3700,029
5772,004
3735,002
3285,025
9323,012
5709,025
7942,012
4395,039
4132,021
1502,011
6823,029
9323,035
8662,003
5902,001
3230,011
8234,012
9974,003
5327,002
6075,011
5894,012
2690,001
1745,025
3651,009
9056,012
1596,021
9911,034
8549,006
2506,003
8048,034
2010,001
8234,001
1951,004
2202,039
7045,003
6326,009
3230,003
5261,003
9093,006
1596,025
4932,021
1485,002
9093,012
7045,035
6933,021
8950,025
5724,034
5478,025
5709,034
3610,025
5086,009
8676,012
1798,003
4928,009
9539,006
5086,012
8836,012
8950,029
5478,035
2690,021
5414,001
3816,011
2010,029
3065,012
8950,003
9168,035
6387,011
3056,002
2683,011
1208,034
1144,002
5261,039
1491,006
5978,039
2212,001
1635,002
3474,004
7251,039
8048,021
1616,009
8745,029
3101,006
5327,004
4928,029
9056,039
5864,011
5381,002
1491,021
5709,004
3700,025
6616,002
2683,004
4395,003
1616,021
2683,001
7920,004
8480,034
6520,002
8836,009
5478,002
3651,039
4642,009
2006,004
7106,001
8265,002
5081,025
6064,001
7251,025
6169,029
2212,003
9093,035
6387,025
4913,012
1917,003
9539,002
4230,012
7045,011
3474,002
5086,034
8251,006
3101,034
5261,002
3917,035
3651,002
1917,001
2690,025
7106,002
7101,012
5381,021
5381,039
9974,009
2766,004
8471,002
3064,039
2549,039
4836,001
7106,025
5772,025
9265,001
4420,004
7715,029
5699,039
8668,011
8048,029
2010,011
9911,012
1144,034
6823,003
2549,029
9589,009
8668,039
8038,021
4395,006
5978,001
8480,001
5802,009
